Review;Pred_sentiment;Golden;Id
2;morrisons book second consecutive quarter of sales growth;0.43;0.01625761389732361
2;the book of the morrison is the second quarter of sales growth .;0.43;0.9990180730819702
2;i 'm a second quarter of sales growth .;0.43;0.9991902112960815
2;morrisons the second consecutive quarter of sales growth .;0.43;0.9994058609008789
2;i 'm running a second consecutive quarter of sales growth .;0.43;0.9998887181282043
2;the morrisons are second , and it 's a quarter of the sale .;0.43;1.0
2;i have a second book of sales growth .;0.43;0.13830703496932983
2;where is the use of a quarter of the sale ?;0.43;0.999954104423523
2;in morrisons book , it is the second quarter of the sale .;0.43;0.999614953994751
2;here it is the second quarter of sales growth .;0.43;0.9999910593032837
2;if the morrisons are published , it is the second quarter of the sale .;0.43;0.9999793171882629
3;imi posts drop in first-quarter organic revenue, warns on full year;-0.34400000000000003;0.9992477893829346
3;imi posts drop in first-quarter organic lobster warns for full year .;-0.34400000000000003;0.9999877214431763
3;take a drop of imi in first full year .;-0.34400000000000003;0.9999968409538269
3;imi posts drop in first full year .;-0.34400000000000003;0.9972365498542786
3;in front of full year drops in full year .;-0.34400000000000003;0.9996813535690308
3;the number of imi is dropped in the first quarter , and it warns in full year .;-0.34400000000000003;0.9999996423721313
3;i have a imi drop in first full year .;-0.34400000000000003;0.9997196197509766
3;where is the release of imi in first full year ?;-0.34400000000000003;0.5888269543647766
3;in the area of february conditions , it falls in full year .;-0.34400000000000003;0.8753328919410706
3;first the year of imi is in high school .;-0.34400000000000003;0.9905502796173096
3;when you have a year , it 's in full year .;-0.34400000000000003;0.9999958276748657
4;glencore to refinance its short-term debt early, shares rise;0.34;1.0
4;glencore is to refinance its short-term debt .;0.34;1.0
4;i want to refinance its short-term debt again .;0.34;1.0
4;glencore to refinance its short-term debt .;0.34;1.0
4;i want to refinance its short-term debt again .;0.34;1.0
4;glencore is to refinance its short-term debt again , and it is going to increase it .;0.34;1.0
4;i will finance its short-term debt again .;0.34;1.0
4;where do you refinance its short-term debt , shares ?;0.34;0.9999985694885254
4;in glencore , it is glencore to refinance its short-term debt .;0.34;1.0
4;so he can refinance his short-term debt .;0.34;0.9999938607215881
4;if you want to refinance its short-term debt again , you see .;0.34;1.0
5;easyjet attracts more passengers in june but still lags ryanair;0.259;1.0
5;june attracts more passengers in june .;0.259;0.05287444591522217
5;i want more passengers in june .;0.259;0.4676854908466339
5;june 's more passengers in june .;0.259;0.9908698797225952
5;while june attracts more passengers in june .;0.259;0.000390857458114624
5;june attracts more passengers in june , but it 's ryanair .;0.259;1.0
5;i want a new passenger in june .;0.259;0.3043191134929657
5;where does easyjet attract more passengers in june ?;0.259;0.29911214113235474
5;in june , it attracts more passengers in june .;0.259;0.7349348068237305
5;now june attracts more passengers in june .;0.259;0.03012940287590027
5;when june is more passengers in june , it attracts ryanair .;0.259;1.0
6;barclays 'bad bank' chief to step down;-0.231;1.0
6;mr. `` bad luck '' to step down .;-0.231;1.0
6;get the chief of bank bankning .;-0.231;0.9999998807907104
6;mr. `` bad bankler '' chief to step down .;-0.231;1.0
6;how to take down the head of bankland .;-0.231;0.999819278717041
6;you 're a barclays , and you can do it .;-0.231;0.9998288750648499
6;i want the boss on fire .;-0.231;0.9999992847442627
6;why do you have a head for money ?;-0.231;0.9609586000442505
6;on friday , he 's the chief of staff .;-0.231;0.9999998807907104
6;then he 'll take the lead in charge .;-0.231;0.9896445274353027
6;in order to get the boss , he 'll take the lead .;-0.231;1.0
7;bilfinger industrial services win £100m bp contract extension;0.113;0.2821851968765259
7;bilfinger 100m we win today .;0.113;0.11008942127227783
7;bilgate service force extension .;0.113;2.79843807220459e-05
7;bilfinger 100m september -RSB- .;0.113;0.7810945510864258
7;i 'm going to take advantage of bilfinger .;0.113;1.0
7;bilfinger brake brake will win the contract , and it will extend it .;0.113;0.951229453086853
7;i will give you 100 m bp .;0.113;0.9991588592529297
7;where do you have an extension ?;0.113;3.135204315185547e-05
7;for brake i.;0.113;0.09932410717010498
7;also brake i.;0.113;0.7314537763595581
7;if they win bilfinger , it will extend an extension .;0.113;0.9999157190322876
8;bilfinger industrial services win £100m bp contract extension;0.424;0.2821851968765259
8;bilfinger 100m we win today .;0.424;0.11008942127227783
8;bilgate service force extension .;0.424;2.79843807220459e-05
8;bilfinger 100m september -RSB- .;0.424;0.7810945510864258
8;i 'm going to take advantage of bilfinger .;0.424;1.0
8;bilfinger brake brake will win the contract , and it will extend it .;0.424;0.951229453086853
8;i will give you 100 m bp .;0.424;0.9991588592529297
8;where do you have an extension ?;0.424;3.135204315185547e-05
8;for brake i.;0.424;0.09932410717010498
8;also brake i.;0.424;0.7314537763595581
8;if they win bilfinger , it will extend an extension .;0.424;0.9999157190322876
